fire_fly_id,referrer_type_value,percentbyref
3165721,Inside Your Site,0.23076923076923078
3165721,Search Engines,0.11538461538461539
3165721,Typed/Bookmarked,0.8076923076923077
3165736,Inside Your Site,0.275
3165736,Search Engines,0.125
3165736,Social Networks,0.65
3165736,Typed/Bookmarked,0.15
3165752,Inside Your Site,1
3165848,Inside Your Site,1
3165848,Typed/Bookmarked,1
3166029,Inside Your Site,0.17766497461928935
3166029,Search Engines,0.116751269035533
3166029,Social Networks,0.3096446700507614
3166029,Typed/Bookmarked,0.7208121827411168
3166046,Inside Your Site,0.75
3166046,Typed/Bookmarked,0.375
3166212,Search Engines,0.25
3166212,Social Networks,0.25
3166212,Typed/Bookmarked,0.5
3166219,Inside Your Site,0.12352941176470589
3166219,Other Web Sites,0.0058823529411764705
3166219,Search Engines,0.023529411764705882
3166219,Social Networks,0.029411764705882353
3166219,Typed/Bookmarked,0.9764705882352941
3166222,Inside Your Site,0.3333333333333333
3166222,Typed/Bookmarked,0.6666666666666666
3166338,Typed/Bookmarked,1
3166462,Inside Your Site,0.9090909090909091
3166462,Other Web Sites,0.5909090909090909
3166462,Typed/Bookmarked,0.09090909090909091
3166537,Inside Your Site,0.028985507246376812
3166537,Typed/Bookmarked,0.9855072463768116
3166569,Inside Your Site,0.15
3166569,Search Engines,0.35
3166569,Social Networks,0.05
3166569,Typed/Bookmarked,0.75
3166692,Inside Your Site,0.7869822485207101
3166692,Other Web Sites,0.005917159763313609
3166692,Typed/Bookmarked,0.9644970414201184
3166912,Inside Your Site,0.6
3166912,Typed/Bookmarked,0.8
3166991,Inside Your Site,0.24918032786885247
3166991,Other Web Sites,0.006557377049180328
3166991,Search Engines,0.019672131147540985
3166991,Social Networks,0.003278688524590164
3166991,Typed/Bookmarked,0.9934426229508196
3167030,Inside Your Site,0.5
3167030,Typed/Bookmarked,0.6666666666666666
3167138,Inside Your Site,0.3108108108108108
3167138,Other Web Sites,0.02702702702702703
3167138,Search Engines,0.02702702702702703
3167138,Social Networks,0.013513513513513514
3167138,Typed/Bookmarked,0.9864864864864865
3167180,Inside Your Site,0.40707964601769914
3167180,No JavaScript,0.004424778761061947
3167180,Search Engines,0.004424778761061947
3167180,Typed/Bookmarked,0.9911504424778761
3167234,Inside Your Site,0.75
3167234,Typed/Bookmarked,1
3167244,Inside Your Site,0.20153061224489796
3167244,Search Engines,0.9846938775510204
3167244,Typed/Bookmarked,0.04336734693877551
3167333,Inside Your Site,0.6
3167333,Search Engines,0.4
3167333,Typed/Bookmarked,0.6
3167335,Inside Your Site,0.11158798283261803
3167335,Search Engines,0.004291845493562232
3167335,Social Networks,0.004291845493562232
3167335,Typed/Bookmarked,1
3167379,Inside Your Site,0.30952380952380953
3167379,Other Web Sites,0.031746031746031744
3167379,Search Engines,0.05555555555555555
3167379,Social Networks,0.40476190476190477
3167379,Typed/Bookmarked,0.7777777777777778
3167557,Inside Your Site,0.2028985507246377
3167557,Other Web Sites,0.21739130434782608
3167557,Typed/Bookmarked,0.7101449275362319
3167681,Inside Your Site,0.19730941704035873
3167681,Other Web Sites,0.02914798206278027
3167681,Search Engines,0.06950672645739911
3167681,Typed/Bookmarked,0.9753363228699552
3167753,Inside Your Site,0.2815533980582524
